id, type, "position", mail, tel
"25","USER","IT specialist","jose@x-rator.com","0123456789"
"24","USER","IT specialist","maria@x-rator.com","0123456789"
"27","USER","head of HR","matilde@x-rator.com","0123456789"
"28","USER","Marketing","alice@x-rator.com","0123456798"
"30","USER","COO","clara@x-rator.com","0123456798"
"71","USER","CIO","douglas@x-rator.com","0123456789"
"29","USER","Head of online sales","bob@x-rator.com","0123456798"
"16","USER","IT Manager","jane@x-rator.com","0123456789"
"13","USER","CTO","nicolas@x-rator.com","0123456789"
"26","USER","IT specialist","cristobal@x-rator.com","0123456789"
"14","USER","CEO","francois@x-rator.com","0123456789"
"15","USER","CIO","paul@x-rator.com","0123456789"
"22","USER","Infra admin","leo@x-rator.com","0123456789"
"23","USER","network admin","eve@x-rator.com","0123456789"
